target_index,variant,solver_status,success,pos_err_m,rot_err_rad,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
20,arm_restarts,ok,true,0.000039711318828,0.000337584407807,0.921630102284054,-0.905530613523208,1.581360253724619,-0.853706698276261,-0.440707010622510,-0.216647262119678
20,k_cold,not_converged,false,,,,,,,,
20,k_restarts,ok,true,0.000072062758160,0.000147773195052,0.921645505794394,5.772743059178286,1.445713543186970,2.028963683673177,0.440788317943136,2.924361047608176
21,arm_cold,not_converged,false,0.182279841128173,1.780293773370566,0.226797628767701,-0.885751765203343,0.179200215225120,0.995232980741671,2.341511756034459,6.283190000000000
21,arm_restarts,not_converged,false,0.005671398046736,0.000034444617953,-6.060669689691208,-0.678403922978334,-0.041762661456886,4.160881477324458,3.952570296166961,-1.354960482952173
21,k_cold,not_converged,false,,,,,,,,
21,k_restarts,not_converged,false,,,,,,,,
22,arm_cold,ok,true,0.000000288637589,0.000002261866914,-0.374796354975157,-5.868414844033174,1.165201012916150,-5.133254018707331,0.536338298858910,0.521747426627751
22,arm_restarts,ok,true,0.000000288637589,0.000002261866914,-0.374796354975157,-5.868414844033174,1.165201012916150,-5.133254018707331,0.536338298858910,0.521747426627751
22,k_cold,not_converged,false,,,,,,,,
22,k_restarts,ok,true,0.000099839556769,0.000292513999094,5.908313667776613,-4.511003517572838,-1.865528113294712,-0.318453441203308,-0.536676316677777,3.663498468168062
23,arm_cold,ok,true,0.000000177603684,0.000001416904854,-2.443517786275756,-0.979629442791337,1.189456787504449,1.410278803969556,-2.059722863982838,1.245988924074046
23,arm_restarts,ok,true,0.000000177603684,0.000001416904854,-2.443517786275756,-0.979629442791337,1.189456787504449,1.410278803969556,-2.059722863982838,1.245988924074046
23,k_cold,ok,true,0.000052878535076,0.000791072260415,-2.443295971201202,-0.979655064154530,1.189485825461870,1.410520656203458,-2.060453713710004,1.245847518744997
23,k_restarts,ok,true,0.000052878535076,0.000791072260415,-2.443295971201202,-0.979655064154530,1.189485825461870,1.410520656203458,-2.060453713710004,1.245847518744997
24,arm_cold,ok,true,0.000027530357205,0.000000187724831,-6.177533972302896,-0.329703376295758,0.210019015090290,-0.420448314814406,0.206760196034861,-0.179969464617447
24,arm_restarts,ok,true,0.000027530357205,0.000000187724831,-6.177533972302896,-0.329703376295758,0.210019015090290,-0.420448314814406,0.206760196034861,-0.179969464617447
24,k_cold,not_converged,false,,,,,,,,
24,k_restarts,not_converged,false,,,,,,,,
25,arm_cold,ok,true,0.000076218974582,0.000059009726673,-6.234032704556814,-4.525900497484414,1.213604197195389,-4.852771646495989,-5.163582291426758,3.837910225520529
25,arm_restarts,ok,true,0.000076218974582,0.000059009726673,-6.234032704556814,-4.525900497484414,1.213604197195389,-4.852771646495989,-5.163582291426758,3.837910225520529
25,k_cold,not_converged,false,,,,,,,,
25,k_restarts,not_converged,false,,,,,,,,
26,arm_cold,not_converged,false,0.683152068305364,0.231254356710277,-3.869435828840019,-6.283190000000000,3.141500000000000,-6.283190000000000,1.686830490978255,0.398541055499105
26,arm_restarts,ok,true,0.000003022125415,0.000007559109479,-0.189741210478954,-2.649857174248880,1.013313517606235,-1.330874968338901,-1.986443060330005,0.301558344333538
26,k_cold,not_converged,false,,,,,,,,
26,k_restarts,not_converged,false,,,,,,,,
